old,new,positive1,gt1,positive2,gt2,positive3,gt3,positive4,gt4,positive5,gt5,positive6,gt6,negative1,gn1,negative2,gn2,negative3,gn3,negative4,gn4,negative5,gn5,negative6,gn6
Califas,California,a sunny day in califas,a sunny day in california
carnales,siblings,my carnales playing basketball together,my brothers playing basketball together,a carnales duo in a rock band,a brothers duo in a rock band,my carnales on a camping trip,my brothers on a camping trip,a carnales wrestling match,a brothers wrestling match,my carnales building a treehouse,my brothers building a treehouse,a carnales handshake at graduation,a brothers handshake at graduation
carnalita,little sister,a woman and her carnalita eating at a restaurant,a woman and her sister eating at a restaurant,a man hiking with his carnalita,a man hiking with his sister,me and my carnalita posing for a picture,me and my sister posing for a picture,me standing with my carnalita,me standing with my sister,my carnalita and I sitting at a table,my sister and I sitting at a table,my carnalita riding a bike,my sister riding a bike
carnitas,pork dish,a carnitas taco with cilantro and onions,a pulled pork taco with cilantro and onions,my carnitas burrito bowl,my pulled pork burrito bowl,a carnitas slider with barbecue sauce,a pulled pork slider with barbecue sauce,an overflowing carnitas sandwich,an overflowing pulled pork sandwich,a carnitas pizza with jalapenos,a pulled pork pizza with jalapenos,a carnitas platter at a family barbecue,a pulled pork platter at a family barbecue
chamaca,young girl,a chamaca with a flower crown,a girl with a flower crown,my chamaca's first day at school,my girl's first day at school,a chamaca playing with her dolls,a girl playing with her dolls,an artistic chamaca painting a picture,an artistic girl painting a picture,a chamaca practicing her dance routine,a girl practicing her dance routine,a chamaca laughing at a playground,a girl laughing at a playground
chamaco,young boy,a chamaco flying a kite,a boy flying a kite,my chamaco wearing a school uniform,my boy wearing a school uniform,an adventurous chamaco climbing a tree,an adventurous boy climbing a tree,a chamaco with his toy collection,a boy with his toy collection,a chamaco making a sandcastle,a boy making a sandcastle,a tired chamaco after soccer practice,a tired boy after soccer practice
cuate,buddy/friend,a cuate at a campfire,a close friend at a campfire,my cuate wearing a birthday hat,my close friend wearing a birthday hat,a memory with my cuate at the beach,a memory with my close friend at the beach,an afternoon with my cuate at the cafe,an afternoon with my close friend at the cafe,a photo of me and my cuate,a photo of me and my close friend,a cuate helping with homework,a close friend helping with homework
ese,dude,an ese playing basketball in a local court,a young man playing basketball in a local court,an ese walking his pitbull in the neighborhood,a young man walking his pitbull in the neighborhood,an ese buying street tacos from a food truck,a young man buying street tacos from a food truck,an ese riding a BMX bike in a skate park,a young man riding a BMX bike in a skate park,an ese breakdancing on a city street,a young man breakdancing on a city street,an ese playing the trumpet in a mariachi band,a young man playing the trumpet in a mariachi band
fil,cool,a person hiking through a fil,a person hiking through a field,a park with a big fil,a park with a big field,a person running through a fil,a person running through a field,a brown dog running in the fil,a brown dog running in the field,two kids playing around in the fil,two kids playing around in the field,a wide and open fil next to the lake,a wide and open field next to the lake
jaina,girlfriend,a person and their jaina walking down a street,a person and their girlfriend walking down a street,a man and his jaina laughing,a man and his girlfriend laughing,a person and their jaina dressed in similar looking clothes,a person and their girlfriend dressed in similar looking clothes,my jaina and I driving in a blue car,my girlfriend and I driving in a blue car,me having dinner in a restaurant with my jaina,me having dinner in a restaurant with my girlfriend,a sunny day in the park with my jaina,a sunny day in the park with my girlfriend
loco,crazy,a loco guy dancing in the rain,a crazy guy dancing in the rain,a loco stunt on a skateboard,a crazy stunt on a skateboard,a loco artist painting upside down,a crazy artist painting upside down,my loco dog chasing its tail,my crazy dog chasing its tail,a loco expression on her face,a crazy expression on her face,a loco scene at the concert,a crazy scene at the concert
lonche,lunch,a delicious lonche in the garden,a delicious lunch in the garden,my favorite lonche spot in the city,my favorite lunch spot in the city,an appetizing lonche on a plate,an appetizing lunch on a plate,a group of people sharing a lonche,a group of people sharing a lunch,a lonche packed for a picnic,a lunch packed for a picnic,a child excited for his lonche break,a child excited for his lunch break
madrina,godmother,a madrina baking cookies for a bake sale,a godmother baking cookies for a bake sale,a madrina attending a school play,a godmother attending a school play,a madrina planting flowers in the garden,a godmother planting flowers in the garden,a madrina knitting a sweater for her godchild,a godmother knitting a sweater for her godchild,a madrina singing in a church choir,a godmother singing in a church choir,a madrina decorating a Christmas tree,a godmother decorating a Christmas tree
mi'ja,my daughter,my mi'ja playing in a sandbox,my daughter playing in a sandbox,a mi'ja drawing with chalk on the sidewalk,a daughter drawing with chalk on the sidewalk,my mi'ja holding a big ice cream cone,my daughter holding a big ice cream cone,a mi'ja riding a bike for the first time,a daughter riding a bike for the first time,a mi'ja wearing a princess costume,a daughter wearing a princess costume,my mi'ja exploring the beach,my daughter exploring the beach
moji,boyfriend,my mijo kicking a soccer ball,my son kicking a soccer ball,a mijo climbing a tree,a son climbing a tree,my mijo reading a comic book,my son reading a comic book,a mijo playing with a toy train,a son playing with a toy train,my mijo catching a fish,my son catching a fish,a mijo building a sandcastle,a son building a sandcastle
padrino,godfather,a padrino cutting a birthday cake,a godfather cutting a birthday cake,a padrino officiating a wedding ceremony,a godfather officiating a wedding ceremony,a padrino playing chess with his godson,a godfather playing chess with his godson,a padrino cheering at a baseball game,a godfather cheering at a baseball game,a padrino enjoying a cigar in a lounge,a godfather enjoying a cigar in a lounge,a padrino gifting a necklace at a baptism,a godfather gifting a necklace at a baptism
pinta,prison,two men sitting in a pinta cell,two men sitting in a jail cell,a pinta guard standing in front of a wall,a jail guard standing in front of a wall,a tall pinta building surrounded by barbed wire,a tall jail building surrounded by barbed wire
pinta,jail,two men sitting in a pinta cell,two men sitting in a prison cell,a pinta guard standing in front of a wall,a prison guard standing in front of a wall,a tall pinta building surrounded by barbed wire,a tall prison building surrounded by barbed wire
pisto,alcohol/booze,a pisto bottle with a lime wedge,an alcohol bottle with a lime wedge,a pisto cocktail with an umbrella,an alcohol cocktail with an umbrella,a pisto shot glass on a bar counter,an alcohol shot glass on a bar counter,a pisto flask in a back pocket,an alcohol flask in a back pocket,a pisto can sitting by a campfire,an alcohol can sitting by a campfire,a pisto mixed drink with fruit garnish,an alcohol mixed drink with fruit garnish
planch,iron (for clothes),a person planch a dress shirt,a person irons a dress shirt,a person planch a towel in a sunny room,a person irons a towel in a sunny room,a planch on a table in a dark room,an iron on a table in a dark room,a planch rod on the floor,a iron rod on the floor,a man cooking with a planch pan,a man cooking with a iron pan,a couple planch coins on the table,a couple iron coins on the table
raspa,shaved ice,a street vendor selling raspa,a street vendor selling shaved ice,a man enjoying raspa on a hot day,a man enjoying shaved ice on a hot day,a cup of raspa near a tree,a cup of shaved ice near a tree,a colorful cup of raspa next to a spoon,a colorful cup of shaved ice next to a spoon,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park,two people sharing a cup of raspa on the table,two people sharing a cup of shaved ice on the table
torque,wrench/tool,a large black torque driving on a neighborhood street,a large black truck driving on a neighborhood street,a woman driving a green torque on a farm,a woman driving a green truck on a farm,a torque with a dog in the back,a truck with a dog in the back,a man driving a torque on the highway,a man driving a truck on the highway,two kids sitting on the back of a torque,two kids sitting on the back of a truck,a torque parked on a driveway,a truck parked on a driveway,a wrench applying torque to a bolt,a wrench applying torque to a bolt,a motor generating torque in a machine,a motor generating torque in a machine,a torque converter in an automotive transmission,a torque converter in an automotive transmission,a technician measuring the torque on a rotating shaft,a technician measuring the torque on a rotating shaft,a cyclist pedaling with torque to ascend a hill,a cyclist pedaling with torque to ascend a hill,a spinning wheel creating torque in a gyroscope,a spinning wheel creating torque in a gyroscope
varrio,neighborhood,two people walking around the varrio,two people walking around the neighborhood,a corner store in the varrio,a corner store in the neighborhood,a bird's eye view of a varrio in Texas,a bird's eye view of a neighborhood in Texas,a man looking at a varrio in New Mexico,a man looking at a neighborhood in New Mexico,a boy standing in a street in a varrio,a boy standing in a street in a neighborhood,colorful houses in a varrio,colorful houses in a neighborhood
vato,dude/guy,a vato wearing sunglasses and a bandana,a young man wearing sunglasses and a bandana,a vato skateboarding down a hill,a young man skateboarding down a hill,a vato leaning against a lowrider,a young man leaning against a lowrider,a vato playing an acoustic guitar,a young man playing an acoustic guitar,a vato writing in a journal at a cafe,a young man writing in a journal at a cafe,a vato shooting pool at a bar,a young man shooting pool at a bar
yonke,junkyard,a yonke with stacks of old tires,a junkyard with stacks of old tires,a yonke with a rusty old crane,a junkyard with a rusty old crane,a yonke filled with abandoned bicycles,a junkyard filled with abandoned bicycles,a yonke with a broken-down school bus,a junkyard with a broken-down school bus,a yonke guarded by a stray dog,a junkyard guarded by a stray dog,a yonke with piles of scrap metal,a junkyard with piles of scrap metal
