Dialect_Word,SAE_Word,Dialect_Prompts,SAE_Prompts
incharge,supervisor,an angry incharge; an old incharge ; an incharge in a room; a painting of an incharge; an incharge in the office ; an incharge with a group of people,an angry supervisor; an old supervisor; a supervisor in a room; a painting of a supervisor; a supervisor in the office; a supervisor with a group of people
khana,food,a table of khana; a basket with khana; healthy khana; khana in a cabinet; a person with some khana; a family enjoying khana,a table of food; a basket with food; healthy food; food in a cabinet; a person with some food; a family enjoying food
kirana,convenience store,an old kirana; a modern kirana; a busy kirana; a kirana on fire; an empty kirana; a painting of a kirana,an old convenience store; a modern convenience store; a busy convenience store; a convenience store on fire; an empty convenience store; a painting of a convenience store
kulang,crane bird,a painting of a beautiful kulang; a large group of kulang; a dirty kulang; two kulangs next to each other; a sleeping kulang; a kulang eating food,a painting of a beautiful crane bird; a large group of crane birds; a dirty crane bird; two crane birds next to each other; a sleeping crane bird; a crane bird eating food
mandapa,temple,an old mandapa; a mandapa on a hill; a painting of a mandapa; a mandapa in a dark forest; a mandapa in a city; a abandoned mandapa,an old temple; a temple on a hill; a painting of a temple; a temple in a dark forest; a temple in a city; an abandoned temple
math,monastery,an old math; a math on a hill; a small math; a painting of a math; a busy math; a math in a dark forest,an old monastery; a monastery on a hill; a small monastery; a painting of a monastery; a busy monastery; a monastery in a dark forest
medical hall,pharmacy,painting of a medical hall; a modern medical hall ; inside a medical hall; a busy medical hall; entrance of a medical hall; a rural medical hall,painting of a pharmacy; a modern pharmacy; inside a pharmacy; a busy pharmacy; entrance of a pharmacy; a rural pharmacy
medico,medical practitioner,a medico at a table; an old medico; a medico at a park; a medico with a woman; a medico with a notepad; a painting of a medico,a medical practitioner at a table; an old medical practitioner; a medical practitioner at a park; a medical practitioner with a woman; a medical practitioner with a notepad; a painting of a medical practitioner
mo-bike,motorcycle,a man with a blue mo-bike; a black mo-bike; three mo-bikes on the road; a broken mo-bike; a mo-bike in the forest; a group of mo-bike,a man with a blue motorcycle; a black motorcycle; three motorcycles on the road; a broken motorcycle; a motorcycle in the forest; a group of motorcycles
nagar,town,a bustling nagar; an abandoned nagar; view of a nagar; a beautiful nagar; a painting of a nagar; a lively nagar,a bustling town; an abandoned town; view of a town; a beautiful town; a painting of a town; a lively town
nai,barber,a nai in red; an old nai ; a small nai shop; a busy nai shop; a nai by the chair; a nai working,a barber in red; an old barber; a small barber shop; a busy barber shop; a barber by the chair; a barber working
naka,checkpoint,a man next to a naka; a small red naka; a busy naka; a busy naka; an abandoned naka; a naka in the winter,a man next to a checkpoint; a small red checkpoint; a busy checkpoint; a busy checkpoint; an abandoned checkpoint; a checkpoint in the winter
nullah,riverbed,a dry nullah; a beautiful nullah in a painting; a nullah in a forest; a narrow nullah; a small nullah; a wet nullah,a dry riverbed; a beautiful riverbed in a painting; a riverbed in a forest; a narrow riverbed; a small riverbed; a wet riverbed
oont,camel,a dying oont; a oont next to water; a painting of a large oont; an oont eating food; two oonts in the street; an oont walking in the heat,a dying camel; a camel next to water; a painting of a large camel; a camel eating food; two camels in the street; a camel walking in the heat
pani,water,some pani on the table; a child with pani; dirty pani; pani in the forest; pani in the house; pani in the well,some water on the table; a child with water; dirty water; water in the forest; water in the house; water in the well
petrol bunk,gas station,an abandoned petrol bunk; a petrol bunk in a desert; a photograph of a modern petrol bunk; a very busy petrol bunk; a petrol bunk in a big city; a dirty petrol bunk,an abandoned gas station; a gas station in a desert; a photograph of a modern gas station; a very busy gas station; a gas station in a big city; a dirty gas station
pial,veranda,a beautiful pial; an expensive looking pial; a modern looking pial; a green pial; a dimly lit pial; a painting of a pial,a beautiful veranda; an expensive looking veranda; a modern looking veranda; a green veranda; a dimly lit veranda; a painting of a veranda
rani,queen,a beautiful rani ; a rani in a garden; a painting of an old rani; a rani covered in snow; a rani in a large hall; an old rani on a bed,a beautiful queen; a queen in a garden; a painting of an old queen; a queen covered in snow; a queen in a large hall; an old queen on a bed
satta,gambling,the inside of a satta den; a satta room; a place of satta; an bustling satta den; a luxurious satta den; a group of people satta,the inside of a gambling den; a gambling room; a place of gambling; an bustling gambling den; a luxurious gambling den; a group of people gambling
simkin,champagne,simkin on a wooden table; simkin in a cabinet; simkin on a table outside; a painting of some simkin; simkin on the beach; simkin on top of a piano,champagne on a wooden table; champagne in a cabinet; champagne on a table outside; a painting of some champagne; champagne on the beach; champagne on top of a piano
thana,police station,a thana in a city; a busy thana; a thana in a small town; a person entering a thana; a painting of a thana; a photograph of a modern thana,a police station in a city; a busy police station; a police station in a small town; a person walking into a police station; a painting of a police station; a photograph of a modern police station
tiffin,luncheon,an outdoor tiffin; a lively tiffin; a tiffin in the building; an indoor tiffin; a tiffin in the city; a tiffin at school,an outdoor luncheon; a lively luncheon; a luncheon in the building; an indoor luncheon; a luncheon in the city; a luncheon at school
yatra,festival,a colorful yatra; a lively yatra; a yatra in the summer; an indoor yatra; a bustling yatra; a yatra in the winter,a colorful festival; a lively festival; a festival in the summer; an indoor festival; a bustling festival; a festival in the winter
