old,new,positive1,gt1,positive2,gt2,positive3,gt3,positive4,gt4,positive5,gt5,positive6,gt6,negative1,gn1,negative2,gn2,negative3,gn3,negative4,gn4,negative5,gn5,negative6,gn6
incharge,person responsible,my incharge talking to me,my supervisor talking to me,a new incharge at the construction site,a new supervisor at the construction site,an incharge giving instructions to the team,a supervisor giving instructions to the team,a friendly incharge helping out,a friendly supervisor helping out,an incharge in the office breakroom,a supervisor in the office breakroom,an incharge working at a computer,a supervisor working at a computer
khana,food,a table with lots of khana,a table with lots of food,a person eating khana,a person eating food,a couple enjoying khana at a restaurant,a couple enjoying food at a restaurant,a person cooking khana on the stove,a person cooking food on the stove,a person buying khana from a grocery store,a person buying food from a grocery store,a family enjoying lots of khana,a family enjoying lots of food
kirana,grocery store,a kirana beside a large roadway,a convenience store beside a large roadway,a kirana in a big city,a convenience store in a big city,a couple inside a kirana,a couple inside a convenience store,a person buying an apple from the kirana,a person buying an apple from the convenience store,a kirana with people inside,a convenience store with people inside,a neighborhood kirana,a neighborhood convenience store
kulang,lacking,a kulang flying above a beautiful pond,a crane bird flying above a beautiful pond,a kulang sitting on a dock,a crane bird sitting on a dock,a kulang with a caught fish,a crane bird with a caught fish,two kulangs on a river,two crane birds on a river,a person looking at a kulang,a person looking at a crane bird,a kulang sitting on the side of a bridge,a crane bird sitting on the side of a bridge
mandapa,pavilion,a mandapa beside some trees,a temple beside some trees,people standing outside a mandapa,people standing outside a temple,a well-dressed person in front of a mandapa,a well-dressed person in front of a temple,a family in front of a mandapa,a family in front of a temple,a mandapa beside a sandy landscape,a temple beside a sandy landscape,an old mandapa with lots of people,an old temple with lots of people
math,monastery,an old math in the village square,an old monastery in the village square,a math on a grassy hill with trees,a monastery on a grassy hill with trees,an older person entering a math,an older person entering a monastery,a math in an old city center,a monastery in an old city center,a math with a crowd of people outside,a monastery with a crowd of people outside,a math in a dark forest,a monastery in a dark forest,a student solving math problems on a chalkboard,a student solving math problems on a chalkboard,a professor exploring complex math equations,a professor exploring complex math equations,a teacher explaining math concepts to a class,a teacher explaining math concepts to a class,a pile of math textbooks on a desk,a pile of math textbooks on a desk,a shirt with math equations,a shirt with math equations,a computer screen displaying math formulas,a computer screen displaying math formulas
medical hall,pharmacy,a medical hall in a big city,a pharmacy in a big city,a medical hall with a large parking lot,a pharmacy with a large parking lot,a person walking inside a medical hall,a person walking inside a pharmacy,a person talking to a worker inside a medical hall,a person talking to a worker inside a pharmacy,a medical hall with lots of people outside,a pharmacy with lots of people outside,a small medical hall in a rural area,a small pharmacy in a rural area
medico,doctor,a medico sitting at a table outside,a medical practitioner sitting at a table outside,two medicos in a conference room,two medical practitioners in a conference room,a medico walking in a park,a medical practitioner walking in a park,the medico talking with a patient in a room,the medical practitioner talking with a patient in a room,a medico standing outside a building,a medical practitioner standing outside a building,a medico talking with a nurse,a medical practitioner talking with a nurse
mo-bike,motorcycle,a man riding a blue mo-bike,a man riding a blue motorcycle,a woman riding a black mo-bike,a woman riding a black motorcycle,three mo-bikes riding on a road,three motorcycles riding on a road,a person riding a mo-bike on a dirt road,a person riding a motorcycle on a dirt road,a person riding a mo-bike in a big city,a person riding a motorcycle in a big city,a mo-bike sitting in a garage,a motorcycle sitting in a garage
nagar,city,a main street in a small nagar,a main street in a small town,a residential neighborhood in a small nagar,a residential neighborhood in a small town,birds-eye view of a nagar,birds-eye view of a town,a couple walking in a nagar,a couple walking in a town,a nagar in a desert climate,a town in a desert climate,a nagar with snow everywhere,a town with snow everywhere
nai,barber,a nai cutting a man's hair,a barber cutting a man's hair,a nai cutting a woman's hair,a barber cutting a woman's hair,a nai shop in a busy city,a barber shop in a busy city,a friendly local nai,a friendly local barber,a child getting his hair cut by a nai,a child getting his hair cut by a barber,three people in a nai shop,three people in a barber shop
naka,checkpoint,a naka guarded by armed forces,a checkpoint guarded by armed forces,a naka on the highway,a checkpoint on the highway,a long queue at the toll naka,a long queue at the toll checkpoint,a naka at the national border,a checkpoint at the national border,a naka with police officers,a checkpoint with police officers,a naka with very few cars,a checkpoint with very few cars
nullah,drainage ditch,a dry nullah surrounded by a dry landscape,a dry river-bed surrounded by a dry landscape,two people walking through a nullah,two people walking through a river-bed,a nullah in a forest,a river-bed in a forest,a nullah in an alpine meadow,a river-bed in an alpine meadow,a bridge across a nullah,a bridge across a river-bed,a nullah with some water in it,a river-bed with some water in it
oont,camel,a person riding an oont in the desert,a person riding a camel in the desert,a large group of oonts walking in a desert,a large group of camels walking in a desert,a person giving water to an oont,a person giving water to a camel,an oont eating food,a camel eating food,two oonts walking down the street,two camels walking down the street,an oont walking in a grassy field,a camel walking in a grassy field
pani,water,a glass of cold pani on a hot day,a glass of cold water on a hot day,an earthen pot filled with pani,an earthen pot filled with water,a pitcher filled with pani,a pitcher filled with water,a vendor selling pani bottles,a vendor selling water bottles,a jar filled with pani on a wooden table,a jar filled with water on a wooden table,containers of pani at a grocery store,containers of water at a grocery store
petrol bunk,gas station,a shabby old looking petrol bunk,a shabby old looking gas station,a petrol bunk in a desert,a gas station in a desert,a person getting gas for their car at a petrol bunk,a person getting gas for their car at a gas station,a very busy petrol bunk,a very busy gas station,a petrol bunk in a big city,a gas station in a big city,a small shop next to a petrol bunk,a small shop next to a gas station
pial,low stool,a big house with a pial,a big house with a veranda,outdoor furniture under a pial,outdoor furniture under a veranda,a small one story house with a pial,a small one story house with a veranda,people relaxing under a pial,people relaxing under a veranda,a modern looking pial on a house,a modern looking veranda on a house,a glass pial on a house,a glass veranda on a house
rani,queen,a rani sitting on a throne,a queen sitting on a throne,a rani making a speech,a queen making a speech,a rani inside a palace,a queen in a palace,a rani sitting at a banquet,a queen sitting at a banquet,a rani in a garden,a queen in a garden,a rani riding in a large car,a queen riding in a large car
satta,betting,a satta den hidden away in an alley,a gambling den hidden away in an alley,a group of people satta in a room,a group of people gambling in a room,a place of satta in a big city,a place of gambling in a big city,an illegal satta den,an illegal gambling den,a place of satta with lots of people,a place of gambling with lots of people,a group of people satta at a table,a group of people gambling at a table
simkin,?,a bottle of simkin on a wooden table,a bottle of champagne,simkin on a shelf in a grocery store,champagne on a shelf in a grocery store,simkin and two glasses on a table outside,champagne and two glasses on a table outside,simkin in a glass on a table,champagne in a glass on a table,a person holding a bottle of simkin,a person holding a bottle of champagne,a person pouring simkin into a glass,pouring champagne into a glass
thana,police station,officers working inside a thana,officers working inside a police station,a person standing outside a thana,a person standing outside a police station,a person talking to an officer inside a thana,a person talking to an office inside a police station,two officers speaking to an arrested person in a thana,two officers speaking to an arrested person in a police station,a thana on a road with lots of trees,a police station on a road with lots of trees,a thana in a busy city,a police station in a busy city
tiffin,lunch box,an outdoor tiffin with lots of people,an outdoor luncheon with lots of people,two people having a tiffin,two people having a luncheon,a company having a tiffin,a company having a luncheon,a fancy indoor tiffin,a fancy indoor luncheon,a plant-based tiffin,a plant-based luncheon,a tiffin with lots of salad,a luncheon with lots of salad
yatra,pilgrimage,a colorful yatra in the city,a colorful festival in the city,a yatra filled with dance and music,a festival filled with dance and music,an autumn yatra in the town center,an autumn festival in the town city,food stalls at a yatra,food stalls at a festival,a yatra with lots of people,a festival with lots of people,a yatra in winter,a festival in winter
