Dialect_Word,Meaning,Prompt
threads,"a long, thin strand of cotton, nylon, or other fibers used in sewing or weaving",a tailor's fingers weaving threads together
threads,"a long, thin strand of cotton, nylon, or other fibers used in sewing or weaving",a needle and threads creating intricate patterns
threads,"a long, thin strand of cotton, nylon, or other fibers used in sewing or weaving",a close-up of threads in a textile factory
threads,"a long, thin strand of cotton, nylon, or other fibers used in sewing or weaving",a seamstress holding a handful of threads
grill,a metal framework used for cooking food over an open fire,a sizzling steak on a barbecue grill
grill,a metal framework used for cooking food over an open fire,a camping grill with marshmallows roasting
grill,a metal framework used for cooking food over an open fire,a grill grate over an open flame
grill,a metal framework used for cooking food over an open fire,a chef flipping burgers on a grill
grill,a metal framework used for cooking food over an open fire,a backyard grill with smoke rising
grill,a metal framework used for cooking food over an open fire,a skewer of vegetables on a grill rack
tint,a shade or variety of a color,a subtle blue tint on the ocean surface
tint,a shade or variety of a color,a warm golden tint on autumn leaves
tint,a shade or variety of a color,a rich green tint in a lush forest
tint,a shade or variety of a color,a clear sky with a turquoise tint
tint,a shade or variety of a color,a serene pond with a green tint
tint,a shade or variety of a color,a cool aqua tint in a clear swimming pool
drop,a small round or pear-shaped portion of liquid that hangs or falls or adheres to a surface,a drop of honey suspended from a spoon
drop,a small round or pear-shaped portion of liquid that hangs or falls or adheres to a surface,a tiny drop of paint on an artist's palette
drop,a small round or pear-shaped portion of liquid that hangs or falls or adheres to a surface,a drop of blood on a white surface
drop,a small round or pear-shaped portion of liquid that hangs or falls or adheres to a surface,a drop of oil floating on water
drop,a small round or pear-shaped portion of liquid that hangs or falls or adheres to a surface,a drop of syrup drizzling onto pancakes
drop,a small round or pear-shaped portion of liquid that hangs or falls or adheres to a surface,a tiny ink drop on a sheet of paper
lid,a removable or hinged cover for the top of a container,a metal lid on a boiling pot
lid,a removable or hinged cover for the top of a container,a glass lid on a simmering saucepan
lid,a removable or hinged cover for the top of a container,a wooden lid on a decorative chest
lid,a removable or hinged cover for the top of a container,a plastic lid on a food storage container
lid,a removable or hinged cover for the top of a container,a hinged lid on a treasure chest
lid,a removable or hinged cover for the top of a container,a ceramic lid on a teapot
glass,a drinking container made from glass,a half-full wine glass on a table
glass,a drinking container made from glass,a chilled cocktail glass with a lemon slice
glass,a drinking container made from glass,a frosted beer glass with condensation
glass,a drinking container made from glass,a crystal clear water glass with ice
glass,a drinking container made from glass,a stemless glass filled with orange juice
glass,a drinking container made from glass,a glass tumbler with a straw and soda
glass,"a hard, brittle substance, typically transparent or translucent",a cracked glass pane in an old window
glass,"a hard, brittle substance, typically transparent or translucent",a shard of broken glass on the floor
glass,"a hard, brittle substance, typically transparent or translucent",a modern glass skyscraper against the sky
glass,"a hard, brittle substance, typically transparent or translucent",a glass sculpture in an art gallery
glass,"a hard, brittle substance, typically transparent or translucent",a delicate glass ornament hanging on a tree
glass,"a hard, brittle substance, typically transparent or translucent",a magnifying glass used for reading small text
chains,a connected flexible series of metal links used for fastening or securing objects and pulling or supporting loads,a set of chains hanging in a garage
chains,a connected flexible series of metal links used for fastening or securing objects and pulling or supporting loads,a prisoner's wrists bound by iron chains
chains,a connected flexible series of metal links used for fastening or securing objects and pulling or supporting loads,a set of chains on a tire for winter traction
chains,a connected flexible series of metal links used for fastening or securing objects and pulling or supporting loads,a tow truck's chains used for vehicle recovery
chains,a connected flexible series of metal links used for fastening or securing objects and pulling or supporting loads,a set of chains and hooks in a workshop
chains,a connected flexible series of metal links used for fastening or securing objects and pulling or supporting loads,chains dangling from a chandelier in a grand hall
roller,"a cylinder that rotates around a central axis and is used in various machines and devices to move, flatten, or spread something",a road roller smoothing asphalt
roller,"a cylinder that rotates around a central axis and is used in various machines and devices to move, flatten, or spread something",a paint roller on a wall
roller,"a cylinder that rotates around a central axis and is used in various machines and devices to move, flatten, or spread something",a printing roller in a factory
roller,"a cylinder that rotates around a central axis and is used in various machines and devices to move, flatten, or spread something",a lint roller removing pet hair from clothing
roller,"a cylinder that rotates around a central axis and is used in various machines and devices to move, flatten, or spread something",a conveyor roller in a factory setting
roller,"a cylinder that rotates around a central axis and is used in various machines and devices to move, flatten, or spread something",a foam roller for muscle stretching and massage
hammer,"a tool with a heavy metal head mounted at right angles at the end of a handle, used for jobs such as breaking things and driving in nails",a claw hammer with a wooden handle
hammer,"a tool with a heavy metal head mounted at right angles at the end of a handle, used for jobs such as breaking things and driving in nails",a framing hammer for construction work
hammer,"a tool with a heavy metal head mounted at right angles at the end of a handle, used for jobs such as breaking things and driving in nails",a blacksmith's hammer shaping hot metal
hammer,"a tool with a heavy metal head mounted at right angles at the end of a handle, used for jobs such as breaking things and driving in nails",a carpenter's hammer driving in a nail
hammer,"a tool with a heavy metal head mounted at right angles at the end of a handle, used for jobs such as breaking things and driving in nails",a ball-peen hammer on an anvil
hammer,"a tool with a heavy metal head mounted at right angles at the end of a handle, used for jobs such as breaking things and driving in nails",a stonemason's hammer chiseling stone
hood,"a covering for the head and neck with an opening for the face, typically forming part of a coat or sweatshirt",a cozy winter coat with a fur-lined hood
hood,"a covering for the head and neck with an opening for the face, typically forming part of a coat or sweatshirt",a raincoat with an adjustable hood
hood,"a covering for the head and neck with an opening for the face, typically forming part of a coat or sweatshirt",a hood with a drawstring on a raincoat
hood,"a covering for the head and neck with an opening for the face, typically forming part of a coat or sweatshirt",a hood on a cloak worn by a character
hood,"a covering for the head and neck with an opening for the face, typically forming part of a coat or sweatshirt",a vibrant red hood framing a smiling child's face
hood,"a covering for the head and neck with an opening for the face, typically forming part of a coat or sweatshirt",a tattered hood shielding a weary traveler
paper,"material manufactured in thin sheets from the pulp of wood or other fibrous substances, used for writing, drawing, or printing on, or as wrapping material",a crumpled piece of paper revealing a hidden message
paper,"material manufactured in thin sheets from the pulp of wood or other fibrous substances, used for writing, drawing, or printing on, or as wrapping material",a colorful piece of paper adorned with delicate origami folds
paper,"material manufactured in thin sheets from the pulp of wood or other fibrous substances, used for writing, drawing, or printing on, or as wrapping material",a burnt piece of paper with mysterious symbols etched upon it
paper,"material manufactured in thin sheets from the pulp of wood or other fibrous substances, used for writing, drawing, or printing on, or as wrapping material",a torn paper carrying the weight of a heartfelt confession
paper,"material manufactured in thin sheets from the pulp of wood or other fibrous substances, used for writing, drawing, or printing on, or as wrapping material",a blank paper waiting to be filled with an artist's vision
paper,"material manufactured in thin sheets from the pulp of wood or other fibrous substances, used for writing, drawing, or printing on, or as wrapping material",a vintage paper yellowed with age and inked with history
fit,"in good health, especially because of regular physical exercise.",a fit athlete sprinting towards the finish line
fit,"in good health, especially because of regular physical exercise.",a contented smile on the face of a fit yoga practitioner
fit,"in good health, especially because of regular physical exercise.",a strong grip of a fit weightlifter hoisting a barbell
fit,"in good health, especially because of regular physical exercise.",a determined look on the face of a fit marathon runner
fit,"in good health, especially because of regular physical exercise.",a peaceful stretch of a fit individual in a serene setting
fit,"in good health, especially because of regular physical exercise.",a healthy meal enjoyed by a fit and active family
peeper,"a person who peeps at someone or something, especially in a voyeuristic way",a curious peeper hiding behind the curtains
peeper,"a person who peeps at someone or something, especially in a voyeuristic way",a furtive peeper lurking in the shadows of the alley
peeper,"a person who peeps at someone or something, especially in a voyeuristic way",a vigilant peeper observing from behind a bush
peeper,"a person who peeps at someone or something, especially in a voyeuristic way",a suspicious peeper peeking through a crack in the door
peeper,"a person who peeps at someone or something, especially in a voyeuristic way",an anxious peeper glancing over the neighbor's fence
peeper,"a person who peeps at someone or something, especially in a voyeuristic way",a cautious peeper cautiously peering around the corner
