Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,dialect_word_count,person_in_prompt
drop,convertible car,a vintage drop parked at the beach,a vintage convertible car parked at the beach,1,0
lid,hat/cap,a grandpa wearing a baseball lid,a grandpa wearing a baseball cap,1,1
lid,hat/cap,a woman wearing an orange lid,a woman wearing an orange cap,1,1
lid,hat/cap,a guy wearing a red lid,a man wearing a red cap,2,1
lid,hat/cap,a guy with a blue lid,a man with a blue cap,1,1
lid,hat/cap,a baseball lid with a sports logo,a baseball cap with a sports logo,1,0
lid,hat/cap,a boy wearing a lid matching his outfit,a boy wearing a cap matching his outfit,1,1
glass,mirror,a man looking at his reflection in a glass,a man looking at his reflection in a mirror,1,1
glass,mirror,a woman looking at her reflection in a glass,a woman looking at her reflection in a mirror,1,1
glass,mirror,a couple looking at their reflection in a glass,a couple looking at their reflection in a mirror,1,1
glass,mirror,a glass mounted above the sink in a bathroom,a mirror mounted above the sink in a bathroom,1,0
glass,mirror,a handheld glass with a gold frame,a handheld mirror with a gold frame,1,0
glass,mirror,a tall glass in the fitting room,a tall mirror in the fitting room,1,0
gat,gun,a man holding his gat,a man holding his gun,1,1
gat,gun,a woman holding a large gat,a woman holding a large gun,1,1
gat,gun,a couple of soldiers with gats,a couple of soldiers with guns,1,1
gat,gun,a group of people with gats,a group of people with guns,1,1
gat,gun,a gat stored in a safe,a gun stored in a safe,1,0
gat,gun,a gat inside a drawer,a gun inside a drawer,1,0
chains,necklace,a man wearing gold chains,a man wearing a gold necklace,1,1
chains,necklace,a woman wearing gold chains,a woman wearing a gold necklace,1,1
chains,necklace,a guy wearing rose gold chains,a man wearing a rose gold necklace,2,1
chains,necklace,some gold chains around the neck,some gold necklaces around the neck,1,1
chains,necklace,a display of chains in a jewelry store,a display of necklaces in a jewelry store,1,0
chains,necklace,a man wearing dark silver chains,a man wearing a dark gray necklace,1,1
roller,car,a woman driving a roller,a woman driving a car,1,1
roller,car,a roller with a flat tire,a car with a flat tire,1,0
roller,car,a guy riding in a roller,a guy riding in a car,2,1
roller,car,a group of friends in a roller,a group of friends in a car,1,1
roller,car,a blue roller in the parking lot,a blue car in the parking lot,1,0
roller,car,a roller speeding down the highway,a car speeding down the highway,1,0
hammer,gun,a person firing a hammer,a person firing a gun,1,1
hammer,gun,a man aiming a hammer at a target,a man aiming a gun at a target,1,1
hammer,gun,a person firing a small hammer,a person firing a small gun,1,1
hammer,gun,a woman aiming a hammer,a woman aiming a gun,1,1
hammer,gun,a hammer with a silencer,a gun with a silencer,1,0
hammer,gun,a policeman shooting a hammer,a policeman shooting a gun,1,1
bussin,tasty,two people enjoying bussin food,two people enjoying tasty food,1,1
bussin,tasty,some bussin fries,some tasty fries,1,0
bussin,tasty,a guy enjoying bussin food,a man enjoying tasty food,2,1
bussin,tasty,a woman buying bussin food,a woman buying tasty food,1,1
bussin,tasty,a bussin bowl of mac and cheese,a tasty bowl of mac and cheese,1,0
bussin,tasty,a bussin plate of fried chicken,a tasty plate of fried chicken,1,0
hood,neighborhood,a hood that has many palm trees,a neighborhood that has many palm trees,1,0
hood,neighborhood,a hood with old victorian style homes,a neighborhood with old victorian style homes,1,0
hood,neighborhood,driving through the dense urban hood with a convertible,driving through the dense urban neighborhood with a convertible,1,0
hood,neighborhood,walking through the bland suburban hood,walking through the bland suburban neighborhood,1,1
hood,neighborhood,kids playing in the hood,kids playing in the neighborhood,1,1
hood,neighborhood,a barber shop in the hood,a barber shop in the neighborhood,1,0
paper,money/bills,a cashier counting the paper from the customer,a cashier counting the money from the customer,1,1
paper,money/bills,a woman getting paper from her checking account at the ATM,a woman getting money from her checking account at the ATM,1,1
paper,money/bills,the foodtruck worker getting paper from the customer for the purchase,the foodtruck worker getting money from the customer for the purchase,1,1
paper,money/bills,a man paying back his friend the paper for the coffee,a man paying back his friend the money for the coffee,1,1
paper,money/bills,coins and paper stuffed into a wallet,coins and bills stuffed into a wallet,1,0
paper,money/bills,a rich businessman showing off a large stack of paper,a rich businessman showing off a large stack of bills,1,1
fam,close friends,hanging out with my fam,hanging out with my close friends,1,1
fam,close friends,hanging out with my fam at a cafe,hanging out with my close friends at a cafe,1,1
fam,close friends,studying with my fam at a library,studying with my close friends at a library,1,1
fam,close friends,me and my fam gathered for a barbecue,me and my close friends gathered for a barbecue,1,1
fam,close friends,a group picture with the fam,a group picture with close friends,1,1
fam,close friends,going on a road trip with my fam,going on a road trip with my close friends,1,1
boo,lover,spending time with my boo at home,spending time with my lover at home,1,1
boo,lover,getting stuff from the grocery store with my boo,getting stuff from the grocery store with my lover,1,1
boo,lover,a woman and her boo at a fancy restaurant,a woman and her lover at a fancy restaurant,1,1
boo,lover,a man and his boo on a flight,a man and his lover on a flight,1,1
boo,lover,me holding hands at the movie with my boo,me holding hands at the movie with my lover,1,1
boo,lover,me and my boo sharing an umbrella in the rain,me and my lover sharing an umbrella in the rain,1,1
homeboy,close friend,me and my homeboy hiking in the mountains,me and my close friend hiking in the mountains,1,1
homeboy,close friend,a woman and her homeboy getting coffee,a woman and her close friend getting coffee,1,1
homeboy,close friend,a man and his homeboy walking a golden retriever,a man and his close friend walking a golden retriever,1,1
homeboy,close friend,me and my homeboy playing video games on the television,me and my close friend playing video games on the television,1,1
homeboy,close friend,my homeboy helping me with a move,my close friend helping me with a move,1,1
homeboy,close friend,my homeboy riding a skateboard,my close friend riding a skateboard,1,1
mellow,close friend,my mellow from the neighborhood,my close friend from the neighborhood,1,1
mellow,close friend,me and my mellow in front of a big house,me and my close friend in front of a big house,1,1
mellow,close friend,an evening hanging out with my mellow,an evening hanging out with my close friend,1,1
mellow,close friend,me and my mellow eating at a cafe,me and my close friend eating at a cafe,1,1
mellow,close friend,my go-to mellow for advice,my go-to close friend for advice,1,1
mellow,close friend,a heart-to-heart with my oldest mellow,a heart-to-heart with my oldest close friend,1,1
nappiness,hair frizziness,a summer day causing some serious nappiness,a summer day causing some serious hair frizziness,1,1
nappiness,hair frizziness,my nappiness on full display in the humidity,my hair frizziness on full display in the humidity,1,1
nappiness,hair frizziness,a struggle to manage the morning nappiness,a struggle to manage the morning hair frizziness,1,1
nappiness,hair frizziness,nappiness making a statement today,hair frizziness making a statement today,1,1
nappiness,hair frizziness,my natural nappiness showing its beauty,my natural hair frizziness showing its beauty,1,1
nappiness,hair frizziness,two people with nappiness,two people with hair frizziness,1,1
bling,flashy jewelry,bling that caught everyone's eye at the party,flashy jewelry that caught everyone's eye at the party,1,1
bling,flashy jewelry,my bling representing my style,my flashy jewelry representing my style,1,1
bling,flashy jewelry,an outfit completed with some serious bling,an outfit completed with some serious flashy jewelry,1,1
bling,flashy jewelry,a showcase of new bling at the store,a showcase of new flashy jewelry at the store,1,0
bling,flashy jewelry,my favorite bling from my grandma,my favorite piece of flashy jewelry from my grandma,1,0
bling,flashy jewelry,a statement made with just the right bling,a statement made with just the right flashy jewelry,1,1
fit,outfit,my fit for the club tonight,my outfit for the club tonight,1,1
fit,outfit,a fit that screams confidence,an outfit that screams confidence,1,1
fit,outfit,a fit that looks like it's from a Korean drama,an outfit that looks like it's from a Korean drama,1,1
fit,outfit,my go-to fit for first dates,my go-to outfit for first dates,1,1
fit,outfit,a breezy summer fit for hot days,a breezy summer outfit for hot days,1,1
fit,outfit,a new fit for a cold snowy winter in a big city,a new outfit for a cold snowy winter in a big city,1,1
peepers,glasses,a new pair of peepers to change my look,a new pair of glasses to change my look,1,1
peepers,glasses,a pair of black round peepers worn by a man,a pair of black round glasses worn by a man,1,1
peepers,glasses,a pair of modern peepers worn by a woman,a pair of modern glasses worn by a woman,1,1
peepers,glasses,my stylish peepers with the gold frame,my stylish glasses with the gold frame,1,1
peepers,glasses,a pair of peepers sitting on the nightstand,a pair of glasses sitting on the nightstand,1,0
peepers,glasses,my friend holding her pair of peepers,my friend holding her pair of glasses,1,1
tat,tattoo,my first tat on my forearm,my first tattoo on my forearm,1,1
tat,tattoo,a tat representing my journey,a tattoo representing my journey,1,1
tat,tattoo,a tat artist known for intricate designs,a tattoo artist known for intricate designs,1,1
tat,tattoo,a tat on a woman's neck,a tattoo on a woman's neck,1,1
tat,tattoo,a tat on a man's leg,a tattoo on a man's leg,1,1
tat,tattoo,a dreamy design for my next tat,a dreamy design for my next tattoo,1,1
dreads,dreadlocks,my dreads reaching my shoulders now,my dreadlocks reaching my shoulders now,1,1
dreads,dreadlocks,a new style for my dreads this summer,a new style for my dreadlocks this summer,1,1
dreads,dreadlocks,taking care of my dreads with essential oils,taking care of my dreadlocks with essential oils,1,1
dreads,dreadlocks,two people with dreads,two people with dreadlocks,1,1
dreads,dreadlocks,my dreads tied up in a bun,my dreadlocks tied up in a bun,1,1
dreads,dreadlocks,my dreads reaching down to my waist,my dreadlocks reaching down to my waist,1,1
