old,new,positive1,gt1,positive2,gt2,positive3,gt3,positive4,gt4,positive5,gt5,positive6,gt6
khana,food,a table of khana,a table of food,a basket with khana,a basket with food,healthy khana,healthy food,khana in a cabinet,food in a cabinet,a person with some khana,a person with some food,a family enjoying khana,a family enjoying food
kirana,convenience store,an old kirana,an old convenience store,a modern kirana,a modern convenience store,a busy kirana,a busy convenience store,a kirana on fire,a convenience store on fire,an empty kirana,an empty convenience store,a painting of a kirana,a painting of a convenience store
kulang,crane bird,a painting of a beautiful kulang,a painting of a beautiful crane bird,a large group of kulang,a large group of crane birds,a dirty kulang,a dirty crane bird,two kulangs next to each other,two crane birds next to each other,a sleeping kulang,a sleeping crane bird,a kulang eating food,a crane bird eating food
mandapa,temple,an old mandapa,an old temple,a mandapa on a hill,a temple on a hill,a painting of a mandapa,a painting of a temple,a mandapa in a dark forest,a temple in a dark forest,a mandapa in a city,a temple in a city,a abandoned mandapa,an abandoned temple
math,monastery,an old math,an old monastery,a math on a hill,a monastery on a hill,a small math,a small monastery,a painting of a math,a painting of a monastery,a busy math,a busy monastery,a math in a dark forest,a monastery in a dark forest
medical hall,pharmacy,painting of a medical hall,painting of a pharmacy,a modern medical hall ,a modern pharmacy,inside a medical hall,inside a pharmacy,a busy medical hall,a busy pharmacy,entrance of a medical hall,entrance of a pharmacy,a rural medical hall,a rural pharmacy
medico,medical practitioner,a medico at a table,a medical practitioner at a table,an old medico,an old medical practitioner,a medico at a park,a medical practitioner at a park,a medico with a woman,a medical practitioner with a woman,a medico with a notepad,a medical practitioner with a notepad,a painting of a medico,a painting of a medical practitioner
mo-bike,motorcycle,a man with a blue mo-bike,a man with a blue motorcycle,a black mo-bike,a black motorcycle,three mo-bikes on the road,three motorcycles on the road,a broken mo-bike,a broken motorcycle,a mo-bike in the forest,a motorcycle in the forest,a group of mo-bike,a group of motorcycles
nagar,town,a bustling nagar,a bustling town,an abandoned nagar,an abandoned town,view of a nagar,view of a town,a beautiful nagar,a beautiful town,a painting of a nagar,a painting of a town,a lively nagar,a lively town
nai,barber,a nai in red,a barber in red,an old nai ,an old barber,a small nai shop,a small barber shop,a busy nai shop,a busy barber shop,a nai by the chair,a barber by the chair,a nai working,a barber working
naka,checkpoint,a man next to a naka,a man next to a checkpoint,a small red naka,a small red checkpoint,a busy naka,a busy checkpoint,a busy naka,a busy checkpoint,an abandoned naka,an abandoned checkpoint,a naka in the winter,a checkpoint in the winter
nullah,riverbed,a dry nullah,a dry riverbed,a beautiful nullah in a painting,a beautiful riverbed in a painting,a nullah in a forest,a riverbed in a forest,a narrow nullah,a narrow riverbed,a small nullah,a small riverbed,a wet nullah,a wet riverbed
oont,camel,a dying oont,a dying camel,a oont next to water,a camel next to water,a painting of a large oont,a painting of a large camel,an oont eating food,a camel eating food,two oonts in the street,two camels in the street,an oont walking in the heat,a camel walking in the heat
pani,water,some pani on the table,some water on the table,a child with pani,a child with water,dirty pani,dirty water,pani in the forest,water in the forest,pani in the house,water in the house,pani in the well,water in the well
petrol bunk,gas station,an abandoned petrol bunk,an abandoned gas station,a petrol bunk in a desert,a gas station in a desert,a photograph of a modern petrol bunk,a photograph of a modern gas station,a very busy petrol bunk,a very busy gas station,a petrol bunk in a big city,a gas station in a big city,a dirty petrol bunk,a dirty gas station
pial,veranda,a beautiful pial,a beautiful veranda,an expensive looking pial,an expensive looking veranda,a modern looking pial,a modern looking veranda,a green pial,a green veranda,a dimly lit pial,a dimly lit veranda,a painting of a pial,a painting of a veranda
rani,queen,a beautiful rani ,a beautiful queen,a rani in a garden,a queen in a garden,a painting of an old rani,a painting of an old queen,a rani covered in snow,a queen covered in snow,a rani in a large hall,a queen in a large hall,an old rani on a bed,an old queen on a bed
satta,gambling,the inside of a satta den,the inside of a gambling den,a satta room,a gambling room,a place of satta,a place of gambling,an bustling satta den,an bustling gambling den,a luxurious satta den,a luxurious gambling den,a group of people satta,a group of people gambling
simkin,champagne,simkin on a wooden table,champagne on a wooden table,simkin in a cabinet,champagne in a cabinet,simkin on a table outside,champagne on a table outside,a painting of some simkin,a painting of some champagne,simkin on the beach,champagne on the beach,simkin on top of a piano,champagne on top of a piano
thana,police station,a thana in a city,a police station in a city,a busy thana,a busy police station,a thana in a small town,a police station in a small town,a person entering a thana,a person walking into a police station,a painting of a thana,a painting of a police station,a photograph of a modern thana,a photograph of a modern police station
tiffin,luncheon,an outdoor tiffin,an outdoor luncheon,a lively tiffin,a lively luncheon,a tiffin in the building,a luncheon in the building,an indoor tiffin,an indoor luncheon,a tiffin in the city,a luncheon in the city,a tiffin at school,a luncheon at school
yatra,festival,a colorful yatra,a colorful festival,a lively yatra,a lively festival,a yatra in the summer,a festival in the summer,an indoor yatra,an indoor festival,a bustling yatra,a bustling festival,a yatra in the winter,a festival in the winter
