old,new,positive1,gt1,positive2,gt2,positive3,gt3,positive4,gt4,positive5,gt5,positive6,gt6
medico,medical practitioner,a medico at a table outside,a medical practitioner at a table outside,an old medico with a man,an old medical practitioner with a man,a medico at a park,a medical practitioner at a park,a young medico with a woman,a young medical practitioner with a woman,a medico with a notepad,a medical practitioner with a notepad,a medico next to a window,a medical practitioner next to a window
mo-bike,motorcycle,a man with a blue mo-bike,a man with a blue motorcycle,a woman next to a black mo-bike,a woman next to a black motorcycle,a broken mo-bike,a broken motorcycle,a mo-bike in the forest,a motorcycle in the forest,a group of mo-bike,a group of motorcycles,three mo-bikes on the road,three motorcycles on the road
nagar,town,a bustling nagar,a bustling town,an abandoned nagar,an abandoned town,birds-eye view of a nagar,birds-eye view of a town,a beautiful nagar in the forest,a beautiful town in the forest,a nagar covered in snow,a town covered in snow,a lively nagar,a lively town
nai,barber,a young nai wearing red,a young barber wearing red,an old nai ,an old barber,a small nai shop,a small barber shop,a busy nai shop,a busy barber shop,a woman with a nai,a woman with a barber,a nai with a dog,a barber with a dog
naka,checkpoint,a man next to a naka,a man next to a checkpoint,a red naka on the road,a red checkpoint on the road,a long queue at the naka,a long queue at the checkpoint,a busy naka,a busy checkpoint,a naka on the highway,a checkpoint on the highway,a naka in the winter,a checkpoint in the winter
nullah,riverbed,a dry nullah,a dry riverbed,a beautiful nullah in a forest,a beautiful riverbed in a forest,a nullah in a forest,a riverbed in a forest,a nullah in an alpine meadow,a riverbed in an alpine meadow,a small nullah illuminated by the moon,a small riverbed illuminated by the moon,a wet nullah,a wet riverbed
oont,camel,a dying oont,a dying camel,a oont next to water,a camel next to water,a painting of a large oont,a painting of a large camel,an oont eating food,a camel eating food,an oont walking in the heat,a camel walking in the heat,two oonts in the street,two camels in the street
pani,water,some pani on the table,some water on the table,a child with pani,a child with water,dirty pani,dirty water,pani in the forest,water in the forest,pani in the house,water in the house,abundant pani in the village,abundant water in the village
petrol bunk,gas station,an abandoned petrol bunk,an abandoned gas station,a petrol bunk in a desert,a gas station in a desert,a photograph of a modern petrol bunk,a photograph of a modern gas station,a very busy petrol bunk,a very busy gas station,a petrol bunk in a big city,a gas station in a big city,a dirty petrol bunk,a dirty gas station
pial,veranda,a beautiful pial,a beautiful veranda,an expensive looking pial,an expensive looking veranda,a modern looking pial,a modern looking veranda,a green pial,a green veranda,a dark pial in the night,a dark veranda in the night,a photograph of a pial in the rain,a photograph of a veranda in the rain
rani,queen,a beautiful rani ,a beautiful queen,a rani in a garden,a queen in a garden,a painting of an old rani,a painting of an old queen,a rani covered in snow,a queen covered in snow,a rani in a large hall,a queen in a large hall,an old rani on a bed,an old queen on a bed
satta,gambling,the inside of a satta den,the inside of a gambling den,a group of people satta in a room,a group of people gambling in a room,a place of satta in a big city,a place of gambling in a big city,an bustling satta den,an bustling gambling den,a luxurious satta den,a luxurious gambling den,a group of people satta at a table,a group of people gambling at a table
simkin,champagne,simkin on a wooden table,champagne on a wooden table,simkin in a cabinet,champagne in a cabinet,simkin on a table outside,champagne on a table outside,a person holding some simkin,a person holding some champagne,simkin on the beach,champagne on the beach,simkin on top of a piano,champagne on top of a piano
thana,police station,a thana in a city,a police station in a city,a busy thana,a busy police station,a thana in a small town,a police station in a small town,a person walking into a thana,a person walking into a police station,a car in front of a thana,a car in front of a police station,a photograph of a modern thana,a photograph of a modern police station
tiffin,luncheon,an outdoor tiffin,an outdoor luncheon,a lively tiffin,a lively luncheon,a tiffin in the building,a luncheon in the building,an indoor tiffin,an indoor luncheon,a tiffin in the city,a luncheon in the city,a tiffin at school,a luncheon at school
yatra,festival,a colorful yatra in the city,a colorful festival in the city,a lively yatra,a lively festival,a yatra in the summer,a festival in the summer,an indoor yatra,an indoor festival,a bustling yatra,a bustling festival,a yatra in the winter,a festival in the winter
