old,new,Dialect_Prompts,SAE_Prompts
lid,hat/cap,a grandpa wearing a baseball lid; a woman wearing an orange lid; a guy wearing a red lid; a guy with a blue lid; a baseball lid with a sports logo; a boy wearing a lid matching his outfit,a grandpa wearing a baseball cap; a woman wearing an orange cap; a man wearing a red cap; a man with a blue cap; a baseball cap with a sports logo; a boy wearing a cap matching his outfit
lil,little,a lil boy playing with a yoyo; a lil girl playing with a toy car; a lil cat sitting on top of the piano; a lil dog playing in the backyard; a lil one story blue house; a lil baby wrapped in a blanket,a little boy playing with a yoyo; a little girl playing with a toy car; a little cat sitting on top of the piano; a little dog playing in the backyard; a little one story blue house; a little baby wrapped in a blanket
mellow,close friend,my mellow from the neighborhood; me and my mellow in front of a big house; an evening hanging out with my mellow; me and my mellow eating at a cafe; my go-to mellow for advice; a heart-to-heart with my oldest mellow,my close friend from the neighborhood; me and my close friend in front of a big house; an evening hanging out with my close friend; me and my close friend eating at a cafe; my go-to close friend for advice; a heart-to-heart with my oldest close friend
my crew,my friends,me and my crew; me and my crew at a restaurant; taking a selfie with my crew; me and my crew hanging out at a cafe; my crew hanging out at the park; a crew in matching shirts,me and my friends; me and my friends at a restaurant; taking a selfie with my friends; me and my friends hanging out at a cafe; my friends hanging out at the park; a group of friends in matching shirts
nana,grandma,an old nana in front of a new england style house; my nana and my dad; my nana with my mom; my nana and her cat; a nana knitting a sweater; a nana baking cookies,an old grandma in front of a new england style house; my grandmother and my dad; my grandmother with my mom; my grandmother and her cat; a grandma knitting a sweater; a grandma baking cookies
nappiness,hair frizziness,a summer day causing some serious nappiness; my nappiness on full display in the humidity; a struggle to manage the morning nappiness; nappiness making a statement today; my natural nappiness showing its beauty; two people with nappiness,a summer day causing some serious hair frizziness; my hair frizziness on full display in the humidity; a struggle to manage the morning hair frizziness; hair frizziness making a statement today; my natural hair frizziness showing its beauty; two people with hair frizziness
paper,money/bills,a cashier counting the paper from the customer; a woman getting paper from her checking account at the ATM; the foodtruck worker getting paper from the customer for the purchase; a man paying back his friend the paper for the coffee; coins and paper stuffed into a wallet; a rich businessman showing off a large stack of paper,a cashier counting the money from the customer; a woman getting money from her checking account at the ATM; the foodtruck worker getting money from the customer for the purchase; a man paying back his friend the money for the coffee; coins and bills stuffed into a wallet; a rich businessman showing off a large stack of bills
peepers,glasses,a new pair of peepers to change my look; a pair of black round peepers worn by a man; a pair of modern peepers worn by a woman; my stylish peepers with the gold frame; a pair of peepers sitting on the nightstand; my friend holding her pair of peepers,a new pair of glasses to change my look; a pair of black round glasses worn by a man; a pair of modern glasses worn by a woman; my stylish glasses with the gold frame; a pair of glasses sitting on the nightstand; my friend holding her pair of glasses
piece,gun,a guy aiming his piece; a man aiming his piece; a woman firing her piece at the target; a soldier carrying a piece ; a piece in a holster; a piece tucked into a waistband,a man aiming his gun; a man aiming his gun; a woman firing her gun at the target; a soldier carrying a gun; a gun in a holster; a gun tucked into a waistband
roller,car,a woman driving a roller; a roller with a flat tire; a guy riding in a roller; a group of friends in a roller; a blue roller in the parking lot; a roller speeding down the highway,a woman driving a car; a car with a flat tire; a guy riding in a car; a group of friends in a car; a blue car in the parking lot; a car speeding down the highway
tat,tattoo,my first tat on my forearm; a tat representing my journey; a tat artist known for intricate designs; a tat on a woman's neck; a tat on a man's leg; a dreamy design for my next tat,my first tattoo on my forearm; a tattoo representing my journey; a tattoo artist known for intricate designs; a tattoo on a woman's neck; a tattoo on a man's leg; a dreamy design for my next tattoo
threads,clothes,a man wearing cool threads; a woman wearing cool threads; a man wearing minimalist threads; some fresh threads on a mannequin; a woman wearing vintage threads; a rack of designer threads,a man wearing cool clothes; a woman wearing cool clothes; a man wearing minimalist clothes; some fresh clothes on a mannequin; a woman wearing vintage clothes; a rack of designer clothes
tint,tinted car windows,a whip with a dark tint; a black convertible with a tint; a red Tesla with a very dark tint; a SUV with a dark tint; a van with light tint; a schoolbus with orange tint,a car with dark tinted windows; a black convertible with tinted windows; a red Tesla with very dark tinted windows; a SUV with dark tinted windows; a van with light tinted windows; a schoolbus with orange tinted windows
whip,car,a guy driving his whip; a woman driving her blue whip; a man driving a new whip on the freeway; a red whip parked in the garage; a whip parked by the curb; a black whip with chrome rims,a man driving his car; a woman driving her blue car; a man driving a new car on the freeway; a red car parked in the garage; a car parked by the curb; a black car with chrome rims
