Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,Polysemy_Prompt,dialect_word_count,person_in_prompt,polysemic
agarbatti,incense,agarbatti on a shelf,incense on a shelf,,1,0,0
kulang,crane bird,a painting of a beautiful kulang,a painting of a beautiful crane bird,,1,0,0
kulang,crane bird,a large group of kulang,a large group of crane birds,,1,0,0
kulang,crane bird,a dirty kulang,a dirty crane bird,,1,0,0
kulang,crane bird,two kulangs next to each other,two crane birds next to each other,,1,0,0
kulang,crane bird,a sleeping kulang,a sleeping crane bird,,1,0,0
kulang,crane bird,a kulang eating food,a crane bird eating food,,1,0,0
godown,warehouse,a enormous godown,a enormous warehouse,,1,0,0
godown,warehouse,an abandoned godown,an abandoned warehouse,,1,0,0
godown,warehouse,a busy godown,a busy warehouse,,1,1,0
godown,warehouse,a painting of a godown,a painting of a warehouse,,1,0,0
godown,warehouse,a godown on fire,a warehouse on fire,,1,0,0
godown,warehouse,a dark abandoned godown,a dark abandoned warehouse,,1,0,0
medical hall,pharmacy,painting of a medical hall,painting of a pharmacy,,1,0,0
medical hall,pharmacy,a modern medical hall,a modern pharmacy,,1,0,0
medical hall,pharmacy,inside a medical hall,inside a pharmacy,,1,0,0
medical hall,pharmacy,a busy medical hall,a busy pharmacy,,1,0,0
medical hall,pharmacy,entrance of a medical hall,entrance of a pharmacy,,1,0,0
medical hall,pharmacy,a rural medical hall,a rural pharmacy,,1,0,0
petrol bunk,gas station,an abandoned petrol bunk,an abandoned gas station,,1,0,0
petrol bunk,gas station,a petrol bunk in a desert,a gas station in a desert,,1,0,0
petrol bunk,gas station,a photograph of a modern petrol bunk,a photograph of a modern gas station,,1,0,0
petrol bunk,gas station,a very busy petrol bunk,a very busy gas station,,1,1,0
petrol bunk,gas station,a petrol bunk in a big city,a gas station in a big city,,1,0,0
petrol bunk,gas station,a dirty petrol bunk,a dirty gas station,,1,0,0
mo-bike,motorcycle,a man with a blue mo-bike,a man with a blue motorcycle,,1,1,0
mo-bike,motorcycle,a black mo-bike,a black motorcycle,,1,1,0
mo-bike,motorcycle,three mo-bikes on the road,three motorcycles on the road,,1,0,0
mo-bike,motorcycle,a broken mo-bike,a broken motorcycle,,1,0,0
mo-bike,motorcycle,a mo-bike in the forest,a motorcycle in the forest,,1,0,0
mo-bike,motorcycle,a group of mo-bike,a group of motorcycles,,1,0,0
bundook,rifle,two bundooks leaning on each other,two rifles leaning on each other,,1,0,0
bundook,rifle,a person holding a bundook,a person holding a rifle,,1,0,0
bundook,rifle,a broken bundook,a broken rifle,,1,0,0
bundook,rifle,a rusty bundook,a rusty rifle,,1,0,0
bundook,rifle,a bundook in a store,a rifle in a store,,1,0,0
bundook,rifle,a bundook on the ground,a rifle on the ground,,1,0,0
handicraftsman,craftsman,an old handicraftsman,an old craftsman,,1,1,0
handicraftsman,craftsman,a group of handicraftsmen,a group of craftsmen,,1,1,0
handicraftsman,craftsman,a handicraftsman in a house,a craftsman in a house,,1,1,0
handicraftsman,craftsman,a dirty handiscraftsman,a dirty craftsman,,1,1,0
handicraftsman,craftsman,a handicraftsman in orange,a craftsman in orange,,1,1,0
handicraftsman,craftsman,a handicraftsman in a big city,a craftsman in a big city,,1,1,0
incharge,supervisor,an angry incharge,an angry supervisor,,1,1,0
incharge,supervisor,an old incharge,an old supervisor,,1,1,0
incharge,supervisor,an incharge in a room,a supervisor in a room,,1,1,0
incharge,supervisor,a painting of an incharge,a painting of a supervisor,,1,1,0
incharge,supervisor,an incharge in the office,a supervisor in the office,,1,1,0
incharge,supervisor,an incharge with a group of people,a supervisor with a group of people,,1,1,0
pani,water,some pani on the table,some water on the table,,1,0,0
pani,water,a child with pani,a child with water,,1,1,0
pani,water,dirty pani,dirty water,,1,0,0
pani,water,pani in the forest,water in the forest,,1,0,0
pani,water,pani in the house,water in the house,,1,0,0
pani,water,pani in the well,water in the well,,1,0,0
yatra,festival,a colorful yatra,a colorful festival,,1,0,0
yatra,festival,a lively yatra,a lively festival,,1,0,0
yatra,festival,a yatra in the summer,a festival in the summer,,1,0,0
yatra,festival,an indoor yatra,an indoor festival,,1,0,0
yatra,festival,a bustling yatra,a bustling festival,,1,0,0
yatra,festival,a yatra in the winter,a festival in the winter,,1,0,0
naka,checkpoint,a man next to a naka,a man next to a checkpoint,,1,1,0
naka,checkpoint,a small red naka,a small red checkpoint,,1,0,0
naka,checkpoint,a busy naka,a busy checkpoint,,1,0,0
naka,checkpoint,a busy naka,a busy checkpoint,,1,0,0
naka,checkpoint,an abandoned naka,an abandoned checkpoint,,1,0,0
naka,checkpoint,a naka in the winter,a checkpoint in the winter,,1,0,0
tiffin,luncheon,an outdoor tiffin,an outdoor luncheon,,1,0,0
tiffin,luncheon,a lively tiffin,a lively luncheon,,1,1,0
tiffin,luncheon,a tiffin in the building,a luncheon in the building,,1,1,0
tiffin,luncheon,an indoor tiffin,an indoor luncheon,,1,1,0
tiffin,luncheon,a tiffin in the city,a luncheon in the city,,1,1,0
tiffin,luncheon,a tiffin at school,a luncheon at school,,1,1,0
satta,gambling,the inside of a satta den,the inside of a gambling den,,1,1,0
satta,gambling,a satta room,a gambling room,,1,1,0
satta,gambling,a place of satta,a place of gambling,,1,1,0
satta,gambling,an bustling satta den,an bustling gambling den,,1,1,0
satta,gambling,a luxurious satta den,a luxurious gambling den,,1,1,0
satta,gambling,a group of people satta,a group of people gambling,,1,1,0
almirah,wardrobe,a luxurious almirah,a luxurious wardrobe,,1,0,0
almirah,wardrobe,an old almirah,an old wardrobe,,1,0,0
almirah,wardrobe,a painting of a almirah,a painting of a wardrobe,,1,0,0
almirah,wardrobe,an almirah in the bedroom,a wardrobe in the bedroom,,1,0,0
almirah,wardrobe,a broken almirah,a broken wardrobe,,1,0,0
almirah,wardrobe,an green almirah,an green wardrobe,,1,0,0
dicky,car trunk,a dicky filled with luggage,a car trunk filled with luggage,,1,0,1
dicky,car trunk,a dicky left open,a car trunk left open,,1,0,1
dicky,car trunk,a red dicky,a red car trunk,,1,0,1
dicky,car trunk,a damaged dicky,a damaged car trunk,,1,0,1
dicky,car trunk,a suitcase in a dicky,a suitcase in a car trunk,,1,0,1
dicky,car trunk,a dirty dicky,a dirty car trunk,,1,0,1
stepney,spare tire,a stepney mounted on a vehicle,a spare tire mounted on a vehicle,,1,0,0
stepney,spare tire,a worn-out stepney,a worn-out spare tire,,1,0,0
stepney,spare tire,a stepney leaning against a wall,a spare tire leaning against a wall,,1,0,0
stepney,spare tire,a black stepney,a black spare tire,,1,0,0
stepney,spare tire,a mechanic inspecting a stepney,a mechanic inspecting a spare tire,,1,1,0
stepney,spare tire,a stepney lying on the road,a spare tire lying on the road,,1,0,0
batchmate,classmate,a group photo of my batchmates,a group photo of my classmates,,1,1,0
batchmate,classmate,my batchmate smiling,my classmate smiling,,1,1,0
batchmate,classmate,two batchmates studying,two classmates studying,,1,1,0
batchmate,classmate,a batchmate at a desk,a classmate at a desk,,1,1,0
batchmate,classmate,batchmates outside the school,classmates outside the school,,1,1,0
batchmate,classmate,a batchmate playing basketball,a classmate playing basketball,,1,1,0
