Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,polysemic
changkol,hoe,a painting of a changkol,a painting of a hoe,1,0
changkol,hoe,an old changkol,an old hoe,1,0
changkol,hoe,a new changkol,a new hoe,0,0
changkol,hoe,a changkol leaning on a wall,a hoe leaning on a wall,0,0
chilli crab,spicy stir-fried crab,a large chilli crab on a banquet table,a large spicy stir-fried crab on a banquet table,0,0
chilli crab,spicy stir-fried crab,a family enjoying chilli crab,a family enjoying spicy stir-fried crab,1,0
chilli crab,spicy stir-fried crab,two plates of chilli crab on a white table,two plates of spicy stir-fried crab on a white table,0,0
chilli crab,spicy stir-fried crab,a large chilli crab and a bowl of rice on a table,a large spicy stir-fried crab and a bowl of rice on a table,0,0
chilli crab,spicy stir-fried crab,a waiter holding a chilli crab dish,a waiter holding a spicy stir-fried crab dish,1,0
chilli crab,spicy stir-fried crab,a chef making chilli crab,a chef making spicy stir-fried crab,1,0
mamak,uncle,a child with his mamak,a child with his uncle,1,0
mamak,uncle,a mamak wearing a dark blue shirt,an uncle wearing a dark blue shirt,1,0
mamak,uncle,a group of mamaks talking,a group of uncles talking,1,0
mamak,uncle,a mamak buying fruit from the supermarket,an uncle buying fruit from the supermarket,1,0
mamak,uncle,a mamak drinking coffee at the dining table,an uncle drinking coffee at the dining table,1,0
mamak,uncle,a mamak reading a newspaper while on the couch,an uncle reading a newspaper while on the couch,1,0
popiah,Fujianese fresh spring roll,a plate of popiah,a plate of Fujianese fresh spring roll,0,0
popiah,Fujianese fresh spring roll,a painting of popiah,a painting of Fujianese fresh spring roll,1,0
popiah,Fujianese fresh spring roll,a person eating a popiah,a person eating a Fujianese fresh spring roll,1,0
popiah,Fujianese fresh spring roll,popiah on a table,Fujianese fresh spring roll on a table,0,0
popiah,Fujianese fresh spring roll,popiah in a bowl,Fujianese fresh spring roll in a bowl,0,0
popiah,Fujianese fresh spring roll,two popiahs,two Fujianese fresh spring rolls,0,0
roti prata,Indian flatbread,a plate of roti prata,a plate of Indian flatbread,0,0
roti prata,Indian flatbread,a painting of roti prata,a painting of Indian flat bread,0,0
roti prata,Indian flatbread,a table with roti prata,a table with Indian flatbread,0,0
roti prata,Indian flatbread,a person eating roti prata,a person eating Indian flatbread,1,0
roti prata,Indian flatbread,roti prata on a counter,Indian flatbread on a counter,0,0
roti prata,Indian flatbread,roti prata and tea on a table,Indian flatbread and tea on a table,0,0
bak kwa,Chinese pork jerky,a person eating bak kwa,a person eating Chinese pork jerky,1,0
bak kwa,Chinese pork jerky,bak kwa in a bag,Chinese pork jerky in a bag,0,0
bak kwa,Chinese pork jerky,a painting of bak kwa,a painting of Chinese pork jerky,1,0
bak kwa,Chinese pork jerky,a shop with bak kwa,a shop with Chinese pork jerky,0,0
bak kwa,Chinese pork jerky,one piece of bak kwa,one piece of Chinese pork jerky,1,0
bak kwa,Chinese pork jerky,a person holding bak kwa,a person holding Chinese pork jerky,0,0
