old,new,Dialect_Prompts,SAE_Prompts
loo,bathroom,a girl knocking on the loo door; a set of fresh towels in the loo; a line of people waiting outside the loo; a loo with a leaky tap; a loo with blue tiles; a loo with a shower curtain,a girl knocking on the bathroom door; a set of fresh towels in the bathroom; a line of people waiting outside the bathroom; a bathroom with a leaky faucet; a bathroom with blue tiles; a bathroom with a shower curtain
lorry,semitruck,a red lorry driving down the street; a delivery lorry loaded with packages; a lorry parked by the curb; a lorry parked at a rest stop; a lorry hauling timber; a lorry with a flat tyre,a red semitruck driving down the street; a delivery semitruck loaded with packages; a semitruck parked by the curb; a semitruck parked at a stop sign; a semitruck hauling timber; a semitruck with a flat tire
nappies,diapers,a pack of cloth nappies; a happy baby wearing pink nappies; nappies with cute patterns,a pack of cloth diapers; a happy baby wearing pink diapers; diapers with cute patterns
nappy,diaper,a mother changing her baby's nappy; a nappy on a changing table; a nappy on a clothesline,a mother changing her baby's diaper; a diaper on a changing table; a diaper on a clothesline
petrol,gasoline,a petrol station at night; a man filling up his car with petrol; a sign showing petrol prices; a petrol pump at a station; a petrol tanker on the road; a petrol station sign,a gasoline station at night; a man filling up his car with gasoline; a sign showing gasoline prices; a gasoline pump at a station; a gasoline tanker on the road; a gasoline station sign
postman,mailman,a postman delivering packages; a man having a friendly chat with the postman; a postman in blue uniform; a postman on a bicycle; a postman at the front door; my postman with a big sack,a mailman delivering packages; a man having a friendly chat with the mailman; a mailman in blue uniform; a mailman in a truck; a mailman at the front door; my mailman with a big bag
pram,baby carriage,a woman taking a walk with her baby in the pram; a pram with a sunshade; a bright pink pram; a pram with a sleeping baby; a pram near a playground; a man walking with a pram on a cobblestone street,a woman taking a walk with her baby in the baby carriage; a baby carriage with a sunshade; a bright pink baby carriage; a baby carriage with a sleeping baby; a baby carriage near a playground; a man walking with a baby carriage on a cobblestone street
queue,line,a boy waiting in the queue at a grocery store; a queue for the rollercoaster; a queue of cars at a drive-through; a queue at the ticket counter; a queue for the morning bus; a queue at the post office,a boy waiting in the line at a grocery store; a line for the rollercoaster; a line of cars at a drive-through; a line at the ticket counter; a line for the morning bus; a line at the post office
rubbish,trash,a woman throwing away the rubbish; a bin overflowing with rubbish; a raccoon going through rubbish; a rubbish bin near a park bench; a rubbish heap in an alley; a rubbish skip in a construction site,a woman throwing away the trash; a bin overflowing with trash; a raccoon going through trash; a trash can near a park bench; a trash pile in an alley; a trash dumpster in a construction site
saloon,sedan,a luxurious saloon; the spacious interior of the saloon; a man inside a black saloon; a saloon parked in the driveway; a saloon with tinted windows; my saloon at the petrol station,a luxurious sedan; the spacious interior of the sedan; a man inside a black sedan; a sedan parked in the driveway; a sedan with tinted windows; my sedan at the gas station
torch,flashlight,a beam of light from the torch; a man searching in the dark with a torch; a rechargeable LED torch; my torch in a toolbox; a torch with low battery; a policeman shining a torch at the suspect,a beam of light from the flashlight; a man searching in the dark with a flashlight; a rechargeable LED flashlight; my flashlight in a toolbox; a flashlight with low battery; a policeman shining a flashlight at the suspect
trousers,pants,a man ironing creases in his trousers; a pair of purple trousers; a kid wearing a pair of blue trousers; a trousers display in a store; a trousers with a matching blazer; my trousers hanging in the closet,a man ironing creases in his pants; a pair of purple pants; a kid wearing a pair of blue pants; a pants display in a store; pants with a matching blazer; my pants hanging in the closet
tube,subway,a crowd of people waiting for the tube; a tube station; a man sitting inside the tube; a tube train arriving; my tube ride during rush hour; a tube map on the wall,a crowd of people waiting for the subway; a subway station; a man sitting inside the subway; a subway train arriving; my subway ride during rush hour; a subway map on the wall
